Dates,Program,Mission,Artist,Song,Comment,Genre,Style,Year,Discogs Master,Discogs URI
1974-01-21,SKYLAB,SKYLAB 4,Julie London,The Party's Over,,,,,,
1974-01-21,SKYLAB,SKYLAB 4,Julie London,Misty,,Jazz,Easy Listening,,,https://www.discogs.com/Julie-London-Hey-There-Misty/release/10203262
1974-01-22,SKYLAB,SKYLAB 4,Unidentified,Spiders And Snakes,,Blues,,1973.0,https://api.discogs.com/masters/162697,https://www.discogs.com/Jim-Stafford-Spiders-And-Snakes/release/4269539
1974-01-23,SKYLAB,SKYLAB 4,The Pogue family,Happy Birthday,In honor of Bill Pogue,,,,,
1974-01-23,SKYLAB,SKYLAB 4,The Pogue family,For He's A Jolly Good Fellow,Ibid.,,,,,
1974-01-24,SKYLAB,SKYLAB 4,Unidentified,Misty,,,,,,https://www.discogs.com/label/1044173-Misty-6
1974-01-25,SKYLAB,SKYLAB 4,The Carpenters,On Top Of The World,,,,,,
1974-01-26,SKYLAB,SKYLAB 4,Julie London,In The Wee Small Hours Of The Morning,,Jazz,,1960.0,https://api.discogs.com/masters/1136526,https://www.discogs.com/Julie-London-In-The-Wee-Small-Hours-Of-The-Morning/release/9713999
1974-01-27,SKYLAB,SKYLAB 4,Herb Alpert & Tijuana Brass,El Manicero,,,,,,
1974-01-28,SKYLAB,SKYLAB 4,Unidentified,A Medley Of Soft Music...,,,,,,
1974-01-29,SKYLAB,SKYLAB 4,Bread,If,,Rock,Southern Rock,1971.0,https://api.discogs.com/masters/221920,https://www.discogs.com/Bread-If/master/221920
1974-01-29,SKYLAB,SKYLAB 4,Cher,"Gypsies, Tramps, And Thieves",,Pop,,,https://api.discogs.com/masters/69100,https://www.discogs.com/Ch%C3%A9r-Gypsies-Tramps-Thieves/release/11086493
1974-01-29,SKYLAB,SKYLAB 4,Mystic Moods,Sensuous Woman,,Pop,,1971.0,https://api.discogs.com/masters/891883,https://www.discogs.com/The-Mystic-Moods-Orchestra-Sensuous-Woman/release/7525383
1974-01-30,SKYLAB,SKYLAB 4,Unidentified,Ghost Riders In The Sky,,Pop,Europop,1999.0,https://api.discogs.com/masters/1025124,https://www.discogs.com/Tornado-Ghost-Riders-In-The-Sky/release/1918623
1974-01-31,SKYLAB,SKYLAB 4,Elvis Presley,Burning Love,,Rock,Rock & Roll,2002.0,https://api.discogs.com/masters/1387531,https://www.discogs.com/Elv1s-Burning-Love/master/1387531
1974-02-03,SKYLAB,SKYLAB 4,Herb Alpert & Tijuana Brass,Walk Through The Black Forest,,,,,,
